date,no2_mean,no2_mean_weighted,no2_median,no2_min,no2_max,n_pixels,status,source_file
2005-04-29,4639276413150596.0,4636203785300734.0,3018292562231296.0,834890505388032.0,1.4348377634373632e+16,29,ok,OMI-Aura_L3-OMNO2d_2005m0429_v003-2019m1120t195358.he5
2005-04-30,4303526717869261.0,4301292580234724.0,4258392159813632.0,-901104606904320.0,1.0243156624801792e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0430_v003-2019m1120t195528.he5
2005-05-01,2486486192801881.0,2486168751451853.5,2459489131298816.0,1079979458691072.0,3981294291648512.0,23,ok,OMI-Aura_L3-OMNO2d_2005m0501_v003-2019m1120t195657.he5
2005-05-02,3440524372545809.0,3438919454268481.5,3280709963743232.0,1157357186842624.0,6214508976537600.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0502_v003-2019m1120t194714.he5
2005-05-03,3484331997099895.5,3482777141632615.5,2867690070867968.0,-99809386037248.0,1.3745201017257984e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0503_v003-2019m1120t195752.he5
2005-05-04,4183784725833318.5,4181349042298063.5,3131779556835328.0,1833646226931712.0,7346634438475776.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0504_v003-2019m1120t195509.he5
2005-05-05,4544599181537421.0,4545270794107099.0,3580619745394688.0,847014594084864.0,1.6505520663822336e+16,29,ok,OMI-Aura_L3-OMNO2d_2005m0505_v003-2019m1120t194718.he5
2005-05-06,2656144463180595.0,2656144463180595.0,3445678852276224.0,1316981525446656.0,3600962589556736.0,5,ok,OMI-Aura_L3-OMNO2d_2005m0506_v003-2019m1120t195752.he5
2005-05-07,3462018770141184.0,3458714212139957.5,3110494235787264.0,861434544128000.0,5438590385389568.0,12,ok,OMI-Aura_L3-OMNO2d_2005m0507_v003-2019m1120t195750.he5
2005-05-08,4607683023723998.0,4612604076152065.0,4099124303495168.0,2414045961388032.0,1.0364073912827904e+16,15,ok,OMI-Aura_L3-OMNO2d_2005m0508_v003-2019m1120t195441.he5
2005-05-09,5083460683449412.0,5082912161040248.0,4363163189379072.0,1973266352701440.0,1.1666525966565376e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0509_v003-2019m1120t195514.he5
2005-05-10,4993720665315142.0,4989374318931161.0,2492430590935040.0,813978242514944.0,1.4236889947045888e+16,22,ok,OMI-Aura_L3-OMNO2d_2005m0510_v003-2019m1120t195447.he5
2005-05-11,3648448167411712.0,3647467280757090.5,3643078501990400.0,2362059408801792.0,5229074364497920.0,16,ok,OMI-Aura_L3-OMNO2d_2005m0511_v003-2019m1120t205442.he5
2005-05-12,4047812524700894.5,4050998732471846.0,3517177441288192.0,655543341416448.0,1.018239572246528e+16,23,ok,OMI-Aura_L3-OMNO2d_2005m0512_v003-2019m1120t205759.he5
2005-05-13,2927716909606502.5,2927716909606503.0,2525201594056704.0,2440486316933120.0,4267696669589504.0,5,ok,OMI-Aura_L3-OMNO2d_2005m0513_v003-2019m1120t200007.he5
2005-05-14,2753132004205612.5,2754666757116974.0,2635374752956416.0,726490899546112.0,4581693407100928.0,23,ok,OMI-Aura_L3-OMNO2d_2005m0514_v003-2019m1120t195425.he5
2005-05-15,2301957561426351.0,2301379580619858.0,2221050934853632.0,1044730393657344.0,3354287853797376.0,19,ok,OMI-Aura_L3-OMNO2d_2005m0515_v003-2019m1120t204318.he5
2005-05-16,3957551587166344.5,3955268470206742.5,3881535488917504.0,1698771771588608.0,8103442035769344.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0516_v003-2019m1120t200027.he5
2005-05-17,4056699121018809.5,4056017322196465.0,3280761771786240.0,1807187349340160.0,8363918380498944.0,29,ok,OMI-Aura_L3-OMNO2d_2005m0517_v003-2019m1120t204403.he5
2005-05-18,3772050437465702.5,3770492500481311.5,3757134579761152.0,2249940361281536.0,5841308530769920.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0518_v003-2019m1120t200138.he5
2005-05-19,4578138349703441.0,4582681039701867.0,3693825688076288.0,532659730120704.0,1.039438993948672e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0519_v003-2019m1120t205428.he5
2005-05-20,2390995770136733.5,2393225161816600.0,2198757974212608.0,725929601007616.0,5518968013979648.0,26,ok,OMI-Aura_L3-OMNO2d_2005m0520_v003-2019m1120t205430.he5
2005-05-21,4818702249614814.0,4821610691550130.0,3773915419639808.0,917634459631616.0,1.5269330291785728e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0521_v003-2019m1120t205429.he5
2005-05-22,3772056692011827.0,3771486085417589.0,3505836580143104.0,1755190864642048.0,6678034732023808.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0522_v003-2019m1120t205856.he5
2005-05-23,3756515516149487.0,3756041144974834.0,3091387268464640.0,341131871125504.0,7935496466464768.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0523_v003-2019m1120t205356.he5
2005-05-24,3288070672613376.0,3292859678807962.5,2616388984242176.0,-322956374835200.0,8331069396877312.0,20,ok,OMI-Aura_L3-OMNO2d_2005m0524_v003-2019m1120t204321.he5
